Year,State,HFR
2011,New Mexico,0.366
2012,New Mexico,0.403
2013,New Mexico,0.482
2014,New Mexico,0.356
2015,New Mexico,0.37
2016,New Mexico,0.359
1980,New York,0.201
1981,New York,0.228
1982,New York,0.206
1983,New York,0.214
1984,New York,0.245
1985,New York,0.241
1986,New York,0.242
1987,New York,0.271
1988,New York,0.258
1989,New York,0.305
1990,New York,0.266
1991,New York,0.269
1992,New York,0.256
1993,New York,0.262
1994,New York,0.235
1995,New York,0.231
1996,New York,0.193
1997,New York,0.205
1998,New York,0.184
1999,New York,0.197
2000,New York,0.197
2001,New York,0.182
2002,New York,0.177
2003,New York,0.157
2004,New York,0.174
2005,New York,0.192
2006,New York,0.164
2007,New York,0.14
2008,New York,0.142
2009,New York,0.152
2010,New York,0.143
2011,New York,0.158
2012,New York,0.154
2013,New York,0.124
2014,New York,0.126
2015,New York,0.119
2016,New York,0.145
1980,North Carolina,0.579
1981,North Carolina,0.547
1982,North Carolina,0.571
1983,North Carolina,0.552
1984,North Carolina,0.585
1985,North Carolina,0.554
1986,North Carolina,0.522
1987,North Carolina,0.573
1988,North Carolina,0.561
1989,North Carolina,0.563
1990,North Carolina,0.541
1991,North Carolina,0.565
1992,North Carolina,0.529
1993,North Carolina,0.573
1994,North Carolina,0.54
1995,North Carolina,0.461
1996,North Carolina,0.516
1997,North Carolina,0.474
1998,North Carolina,0.464
1999,North Carolina,0.417
2000,North Carolina,0.426
2001,North Carolina,0.382
2002,North Carolina,0.397
2003,North Carolina,0.374
2004,North Carolina,0.383
2005,North Carolina,0.375
2006,North Carolina,0.351
2007,North Carolina,0.36
2008,North Carolina,0.345
2009,North Carolina,0.341
2010,North Carolina,0.35
2011,North Carolina,0.406
2012,North Carolina,0.379
2013,North Carolina,0.355
2014,North Carolina,0.334
2015,North Carolina,0.316
2016,North Carolina,0.371
1980,North Dakota,0.53
1981,North Dakota,0.567
1982,North Dakota,0.558
1983,North Dakota,0.53
1984,North Dakota,0.597
1985,North Dakota,0.627
1986,North Dakota,0.542
1987,North Dakota,0.596
1988,North Dakota,0.598
1989,North Dakota,0.565
1990,North Dakota,0.553
1991,North Dakota,0.518
1992,North Dakota,0.574
1993,North Dakota,0.594
1994,North Dakota,0.522
1995,North Dakota,0.598
1996,North Dakota,0.566
1997,North Dakota,0.54
1998,North Dakota,0.512
1999,North Dakota,0.56
2000,North Dakota,0.55
2001,North Dakota,0.503
2002,North Dakota,0.517
2003,North Dakota,0.51
2004,North Dakota,0.546
2005,North Dakota,0.546
2006,North Dakota,0.484
2007,North Dakota,0.538
2008,North Dakota,0.586
2009,North Dakota,0.537
2010,North Dakota,0.543
2011,North Dakota,0.541
2012,North Dakota,0.561
2013,North Dakota,0.567
2014,North Dakota,0.57
2015,North Dakota,0.504
2016,North Dakota,0.533
1980,Ohio,0.458
1981,Ohio,0.444
1982,Ohio,0.487
1983,Ohio,0.421
1984,Ohio,0.464
1985,Ohio,0.408
1986,Ohio,0.425
1987,Ohio,0.472
1988,Ohio,0.458
1989,Ohio,0.479
1990,Ohio,0.486
1991,Ohio,0.472
1992,Ohio,0.462
1993,Ohio,0.443
1994,Ohio,0.477
1995,Ohio,0.448
1996,Ohio,0.397
1997,Ohio,0.362
1998,Ohio,0.381
1999,Ohio,0.365
2000,Ohio,0.351
2001,Ohio,0.324
2002,Ohio,0.321
2003,Ohio,0.335
2004,Ohio,0.328
2005,Ohio,0.348
2006,Ohio,0.353
2007,Ohio,0.324
2008,Ohio,0.365
2009,Ohio,0.368
2010,Ohio,0.357
2011,Ohio,0.334
2012,Ohio,0.362
2013,Ohio,0.359
2014,Ohio,0.366
2015,Ohio,0.388
2016,Ohio,0.419
1980,Oklahoma,0.609
1981,Oklahoma,0.58
1982,Oklahoma,0.595
1983,Oklahoma,0.575
1984,Oklahoma,0.612
1985,Oklahoma,0.599
1986,Oklahoma,0.596
1987,Oklahoma,0.649
1988,Oklahoma,0.637
1989,Oklahoma,0.643
1990,Oklahoma,0.655
1991,Oklahoma,0.604
1992,Oklahoma,0.549
1993,Oklahoma,0.605
1994,Oklahoma,0.572
1995,Oklahoma,0.52
1996,Oklahoma,0.537
1997,Oklahoma,0.55
1998,Oklahoma,0.498
1999,Oklahoma,0.498
2000,Oklahoma,0.558
2001,Oklahoma,0.48
2002,Oklahoma,0.483
2003,Oklahoma,0.467
2004,Oklahoma,0.495
2005,Oklahoma,0.441
2006,Oklahoma,0.468
2007,Oklahoma,0.497
2008,Oklahoma,0.508
2009,Oklahoma,0.508
2010,Oklahoma,0.488
2011,Oklahoma,0.533
2012,Oklahoma,0.563
2013,Oklahoma,0.537
2014,Oklahoma,0.493
2015,Oklahoma,0.487
2016,Oklahoma,0.549
1980,Oregon,0.577
1981,Oregon,0.604
1982,Oregon,0.582
1983,Oregon,0.541
1984,Oregon,0.6
1985,Oregon,0.59
1986,Oregon,0.573
1987,Oregon,0.567
1988,Oregon,0.576
1989,Oregon,0.604
1990,Oregon,0.594
1991,Oregon,0.563
1992,Oregon,0.572
1993,Oregon,0.554
1994,Oregon,0.533
1995,Oregon,0.592
1996,Oregon,0.542
1997,Oregon,0.493
1998,Oregon,0.518
1999,Oregon,0.515
2000,Oregon,0.516
2001,Oregon,0.415
2002,Oregon,0.422
2003,Oregon,0.427
2004,Oregon,0.407
2005,Oregon,0.484
2006,Oregon,0.451
2007,Oregon,0.46
2008,Oregon,0.436
2009,Oregon,0.456
2010,Oregon,0.409
2011,Oregon,0.413
2012,Oregon,0.476
2013,Oregon,0.456
2014,Oregon,0.462
2015,Oregon,0.407
2016,Oregon,0.414
1980,Pennsylvania,0.437
1981,Pennsylvania,0.457
1982,Pennsylvania,0.49
1983,Pennsylvania,0.417
1984,Pennsylvania,0.463
1985,Pennsylvania,0.424
1986,Pennsylvania,0.415
1987,Pennsylvania,0.421
1988,Pennsylvania,0.423
1989,Pennsylvania,0.44
1990,Pennsylvania,0.45
1991,Pennsylvania,0.437
1992,Pennsylvania,0.474
1993,Pennsylvania,0.472
1994,Pennsylvania,0.444
1995,Pennsylvania,0.469
1996,Pennsylvania,0.371
1997,Pennsylvania,0.372
1998,Pennsylvania,0.412
1999,Pennsylvania,0.389
2000,Pennsylvania,0.391
2001,Pennsylvania,0.363
2002,Pennsylvania,0.381
2003,Pennsylvania,0.397
2004,Pennsylvania,0.356
2005,Pennsylvania,0.414
2006,Pennsylvania,0.382
2007,Pennsylvania,0.346
2008,Pennsylvania,0.384
2009,Pennsylvania,0.371
2010,Pennsylvania,0.355
2011,Pennsylvania,0.362
2012,Pennsylvania,0.38
2013,Pennsylvania,0.368
2014,Pennsylvania,0.361
2015,Pennsylvania,0.368
2016,Pennsylvania,0.402
1980,Rhode Island,0.113
1981,Rhode Island,0.152
1982,Rhode Island,0.146
1983,Rhode Island,0.157
1984,Rhode Island,0.155
1985,Rhode Island,0.129
1986,Rhode Island,0.171
1987,Rhode Island,0.183
1988,Rhode Island,0.175
1989,Rhode Island,0.236
1990,Rhode Island,0.188
1991,Rhode Island,0.216
1992,Rhode Island,0.246
1993,Rhode Island,0.192
1994,Rhode Island,0.214
1995,Rhode Island,0.226
1996,Rhode Island,0.178
1997,Rhode Island,0.146
1998,Rhode Island,0.147
1999,Rhode Island,0.166
2000,Rhode Island,0.153
2001,Rhode Island,0.134
2002,Rhode Island,0.136
2003,Rhode Island,0.074
2004,Rhode Island,0.116
2005,Rhode Island,0.124
2006,Rhode Island,0.129
2007,Rhode Island,0.072
2008,Rhode Island,0.092
2009,Rhode Island,0.145
2010,Rhode Island,0.091
2011,Rhode Island,0.1
2012,Rhode Island,0.109
2013,Rhode Island,0.09
2014,Rhode Island,0.1
2015,Rhode Island,0.151
2016,Rhode Island,0.139
1980,South Carolina,0.575
1981,South Carolina,0.544
1982,South Carolina,0.565
1983,South Carolina,0.546
1984,South Carolina,0.546
1985,South Carolina,0.588
1986,South Carolina,0.537
1987,South Carolina,0.538
1988,South Carolina,0.588
1989,South Carolina,0.618
1990,South Carolina,0.61
1991,South Carolina,0.582
1992,South Carolina,0.533
1993,South Carolina,0.527
1994,South Carolina,0.541
1995,South Carolina,0.494
1996,South Carolina,0.493
1997,South Carolina,0.521
1998,South Carolina,0.464
1999,South Carolina,0.468
2000,South Carolina,0.492
2001,South Carolina,0.442
2002,South Carolina,0.466
2003,South Carolina,0.456
2004,South Carolina,0.436
2005,South Carolina,0.394
2006,South Carolina,0.403
2007,South Carolina,0.415
2008,South Carolina,0.42
2009,South Carolina,0.409
2010,South Carolina,0.418
2011,South Carolina,0.466
2012,South Carolina,0.459
2013,South Carolina,0.445
2014,South Carolina,0.42
2015,South Carolina,0.393
2016,South Carolina,0.45
1980,South Dakota,0.592
1981,South Dakota,0.585
1982,South Dakota,0.54
1983,South Dakota,0.624
1984,South Dakota,0.501
1985,South Dakota,0.58
1986,South Dakota,0.588
1987,South Dakota,0.568
1988,South Dakota,0.605
1989,South Dakota,0.604
1990,South Dakota,0.617
1991,South Dakota,0.596
1992,South Dakota,0.55
1993,South Dakota,0.621
1994,South Dakota,0.635
1995,South Dakota,0.617
1996,South Dakota,0.582
1997,South Dakota,0.518
1998,South Dakota,0.524
1999,South Dakota,0.494
2000,South Dakota,0.547
2001,South Dakota,0.518
2002,South Dakota,0.564
2003,South Dakota,0.537
2004,South Dakota,0.567
2005,South Dakota,0.504
2006,South Dakota,0.514
2007,South Dakota,0.511
2008,South Dakota,0.51
2009,South Dakota,0.519
2010,South Dakota,0.523
2011,South Dakota,0.479
2012,South Dakota,0.568
2013,South Dakota,0.523
2014,South Dakota,0.5
2015,South Dakota,0.492
2016,South Dakota,0.55
1980,Tennessee,0.573
1981,Tennessee,0.577
1982,Tennessee,0.599
1983,Tennessee,0.577
1984,Tennessee,0.585
1985,Tennessee,0.607
1986,Tennessee,0.548
1987,Tennessee,0.582
1988,Tennessee,0.588
1989,Tennessee,0.584
1990,Tennessee,0.557
1991,Tennessee,0.576
1992,Tennessee,0.581
1993,Tennessee,0.59
1994,Tennessee,0.574
1995,Tennessee,0.565
1996,Tennessee,0.518
1997,Tennessee,0.508
1998,Tennessee,0.513
1999,Tennessee,0.503
2000,Tennessee,0.489
2001,Tennessee,0.444
2002,Tennessee,0.468
2003,Tennessee,0.436
2004,Tennessee,0.472
2005,Tennessee,0.467
2006,Tennessee,0.447
2007,Tennessee,0.461
2008,Tennessee,0.495
2009,Tennessee,0.421
2010,Tennessee,0.438
2011,Tennessee,0.491
2012,Tennessee,0.478
2013,Tennessee,0.469
2014,Tennessee,0.427
2015,Tennessee,0.416
2016,Tennessee,0.469
1980,Texas,0.58
1981,Texas,0.586
1982,Texas,0.613
1983,Texas,0.586
1984,Texas,0.545
1985,Texas,0.506
1986,Texas,0.529
1987,Texas,0.516
1988,Texas,0.541
1989,Texas,0.555
1990,Texas,0.53
1991,Texas,0.514
1992,Texas,0.522
1993,Texas,0.563
1994,Texas,0.517
1995,Texas,0.488
1996,Texas,0.491
1997,Texas,0.494
1998,Texas,0.466
1999,Texas,0.421
2000,Texas,0.417
2001,Texas,0.377
2002,Texas,0.379
2003,Texas,0.362
2004,Texas,0.368
2005,Texas,0.376
2006,Texas,0.363
2007,Texas,0.392
2008,Texas,0.367
2009,Texas,0.357
2010,Texas,0.346
2011,Texas,0.378
2012,Texas,0.426
2013,Texas,0.364
2014,Texas,0.385
2015,Texas,0.336
2016,Texas,0.355
1980,Utah,0.53
1981,Utah,0.496
1982,Utah,0.551
1983,Utah,0.535
1984,Utah,0.581
1985,Utah,0.565
1986,Utah,0.531
1987,Utah,0.57
1988,Utah,0.56
1989,Utah,0.566
1990,Utah,0.551
1991,Utah,0.524
1992,Utah,0.489
1993,Utah,0.496
1994,Utah,0.479
1995,Utah,0.477
1996,Utah,0.481
1997,Utah,0.464
1998,Utah,0.47
1999,Utah,0.428
2000,Utah,0.505
2001,Utah,0.455
2002,Utah,0.467
2003,Utah,0.401
2004,Utah,0.442
2005,Utah,0.377
2006,Utah,0.378
2007,Utah,0.426
2008,Utah,0.355
2009,Utah,0.396
2010,Utah,0.416
2011,Utah,0.392
2012,Utah,0.423
2013,Utah,0.425
2014,Utah,0.349
2015,Utah,0.35
2016,Utah,0.397
1980,Vermont,0.521
1981,Vermont,0.483
1982,Vermont,0.621
1983,Vermont,0.466
1984,Vermont,0.564
1985,Vermont,0.519
1986,Vermont,0.562
1987,Vermont,0.569
1988,Vermont,0.587
1989,Vermont,0.615
1990,Vermont,0.552
1991,Vermont,0.6
1992,Vermont,0.601
1993,Vermont,0.594
1994,Vermont,0.563
1995,Vermont,0.561
1996,Vermont,0.521
1997,Vermont,0.46
1998,Vermont,0.504
1999,Vermont,0.551
2000,Vermont,0.47
2001,Vermont,0.43
2002,Vermont,0.441
2003,Vermont,0.427
2004,Vermont,0.442
2005,Vermont,0.403
2006,Vermont,0.441
2007,Vermont,0.43
2008,Vermont,0.4
2009,Vermont,0.498
2010,Vermont,0.484
2011,Vermont,0.472
2012,Vermont,0.482
2013,Vermont,0.483
2014,Vermont,0.437
2015,Vermont,0.43
2016,Vermont,0.503
1980,Virginia,0.558
1981,Virginia,0.522
1982,Virginia,0.538
1983,Virginia,0.487
1984,Virginia,0.519
1985,Virginia,0.508
1986,Virginia,0.505
1987,Virginia,0.493
1988,Virginia,0.523
1989,Virginia,0.537
1990,Virginia,0.517
1991,Virginia,0.549
1992,Virginia,0.553
1993,Virginia,0.466
1994,Virginia,0.5
1995,Virginia,0.515
1996,Virginia,0.49
1997,Virginia,0.463
1998,Virginia,0.448
1999,Virginia,0.431
2000,Virginia,0.418
2001,Virginia,0.362
2002,Virginia,0.386
2003,Virginia,0.358
2004,Virginia,0.384
2005,Virginia,0.408
2006,Virginia,0.373
2007,Virginia,0.367
2008,Virginia,0.372
2009,Virginia,0.359
2010,Virginia,0.363
2011,Virginia,0.413
2012,Virginia,0.397
2013,Virginia,0.37
2014,Virginia,0.362
2015,Virginia,0.345
2016,Virginia,0.353
1980,Washington,0.489
1981,Washington,0.529
1982,Washington,0.54
1983,Washington,0.498
1984,Washington,0.488
1985,Washington,0.495
1986,Washington,0.446
1987,Washington,0.472
1988,Washington,0.488
1989,Washington,0.511
1990,Washington,0.474
1991,Washington,0.456
1992,Washington,0.487
1993,Washington,0.492
1994,Washington,0.457
1995,Washington,0.503
1996,Washington,0.458
1997,Washington,0.427
1998,Washington,0.446
1999,Washington,0.396
2000,Washington,0.402
2001,Washington,0.341
2002,Washington,0.362
2003,Washington,0.383
2004,Washington,0.369
2005,Washington,0.364
2006,Washington,0.359
2007,Washington,0.361
2008,Washington,0.38
2009,Washington,0.366
2010,Washington,0.338
2011,Washington,0.335
2012,Washington,0.339
2013,Washington,0.344
2014,Washington,0.335
2015,Washington,0.318
2016,Washington,0.321
1980,West Virginia,0.632
1981,West Virginia,0.612
1982,West Virginia,0.595
1983,West Virginia,0.553
1984,West Virginia,0.651
1985,West Virginia,0.626
1986,West Virginia,0.601
1987,West Virginia,0.604
1988,West Virginia,0.605
1989,West Virginia,0.566
1990,West Virginia,0.558
1991,West Virginia,0.56
1992,West Virginia,0.632
1993,West Virginia,0.636
1994,West Virginia,0.589
1995,West Virginia,0.648
1996,West Virginia,0.589
1997,West Virginia,0.526
1998,West Virginia,0.538
1999,West Virginia,0.573
2000,West Virginia,0.541
2001,West Virginia,0.549
2002,West Virginia,0.58
2003,West Virginia,0.561
2004,West Virginia,0.556
2005,West Virginia,0.631
2006,West Virginia,0.56
2007,West Virginia,0.599
2008,West Virginia,0.575
2009,West Virginia,0.551
2010,West Virginia,0.572
2011,West Virginia,0.622
2012,West Virginia,0.571
2013,West Virginia,0.602
2014,West Virginia,0.547
2015,West Virginia,0.537
2016,West Virginia,0.6
1980,Wisconsin,0.483
1981,Wisconsin,0.423
1982,Wisconsin,0.445
1983,Wisconsin,0.43
1984,Wisconsin,0.479
1985,Wisconsin,0.471
1986,Wisconsin,0.445
1987,Wisconsin,0.469
1988,Wisconsin,0.46
1989,Wisconsin,0.496
1990,Wisconsin,0.502
1991,Wisconsin,0.485
1992,Wisconsin,0.467
1993,Wisconsin,0.516
1994,Wisconsin,0.495
1995,Wisconsin,0.466
1996,Wisconsin,0.475
1997,Wisconsin,0.418
1998,Wisconsin,0.549
1999,Wisconsin,0.434
2000,Wisconsin,0.466
2001,Wisconsin,0.431
2002,Wisconsin,0.422
2003,Wisconsin,0.445
2004,Wisconsin,0.416
2005,Wisconsin,0.41
2006,Wisconsin,0.425
2007,Wisconsin,0.414
2008,Wisconsin,0.421
2009,Wisconsin,0.432
2010,Wisconsin,0.431
2011,Wisconsin,0.414
2012,Wisconsin,0.44
2013,Wisconsin,0.448
2014,Wisconsin,0.434
2015,Wisconsin,0.434
2016,Wisconsin,0.471
1980,Wyoming,0.775
1981,Wyoming,0.8
1982,Wyoming,0.76
1983,Wyoming,0.733
1984,Wyoming,0.776
1985,Wyoming,0.743
1986,Wyoming,0.756
1987,Wyoming,0.737
1988,Wyoming,0.708
1989,Wyoming,0.766
1990,Wyoming,0.761
1991,Wyoming,0.713
1992,Wyoming,0.705
1993,Wyoming,0.698
1994,Wyoming,0.69
1995,Wyoming,0.685
1996,Wyoming,0.686
1997,Wyoming,0.63
1998,Wyoming,0.625
1999,Wyoming,0.58
2000,Wyoming,0.586
2001,Wyoming,0.606
2002,Wyoming,0.644
2003,Wyoming,0.596
2004,Wyoming,0.607
2005,Wyoming,0.592
2006,Wyoming,0.583
2007,Wyoming,0.621
2008,Wyoming,0.64
2009,Wyoming,0.615
2010,Wyoming,0.572
2011,Wyoming,0.539
2012,Wyoming,0.597
2013,Wyoming,0.613
2014,Wyoming,0.608
2015,Wyoming,0.549
2016,Wyoming,0.607
